"層","ゾーン候補","状態","図面対象","幅_mm","奥行_mm","高さ_mm","図面幅_cm","図面奥行_cm","名称","税抜単価","台数","税抜小計","商品リンク","備考","寸法信頼度","寸法メモ","検証結果","旧幅_mm","旧奥行_mm","旧高さ_mm","検証日","","","",""
"","背中","採用中","","¥1,020","1760","¥470","102","176","Pure Kraft Bent Over Row","¥1,600,000","1","¥1,600,000","https://gym80.de/en/product/4318/","背中・リア側。見た目も珍しい","高","gym80 4318 公式 HxWxL 470x1020x1760","一致","1020","1760","470","2026-09-12","","","",""
"","背中","採用中","","¥1,200","1300","¥1,620","120","130","Seated Row Machine / Dual Row系","¥1,800,000","1","¥1,800,000","https://gym80.de/en/product/3040/","レジスタンス寄りの高級ロー。既存との置換候補","高","gym80 3040 Seated Row Machine 公式 HxWxL 1620x1200x1300","一致","1200","1300","1620","2026-09-12","","","",""
"","肩","採用中","","¥880","1390","¥1,330","88","139","Pure Kraft Shoulder Lateral Raise Dual","¥2,200,000","1","¥2,200,000","https://www.gym80.co.uk/products/pure-kraft-shoulder-lateral-raise-dual","フィジーク層・ボディメイク層向け","高","gym80 4325 公式 HxWxL 1330x880x1390","一致","880","1390","1330","2026-09-12","","","",""
"","脚","採用中","","¥1,294","2206","¥1,361","129","221","Pure Kraft Hack Squat","¥2,300,000","1","¥2,300,000","https://gym80.de/en/product/4159n/","脚トレの本命。3段階調整フットプレート","高","gym80 4159N 公式 HxWxL 1361x1294x2206","一致","1294","2206","1361","2026-09-12","","","",""
"","脚","採用中","","¥1,269","1633","¥841","127","163","Pure Kraft Lying Leg Curl","¥1,800,000","1","¥1,800,000","https://gym80.de/en/product/4337n/","ハムストリング特化。脚の完成度を上げる","高","gym80 4337N 公式 HxWxL 841x1269x1633","一致","1269","1633","841","2026-09-12","","","",""
"","脚","採用中","","¥1,322","1336","¥1,037","132","134","Pure Kraft Leg Extension","¥1,800,000","1","¥1,800,000","https://gym80.de/en/product/4336n/","大腿四頭筋。既存更新・高級化候補","高","gym80 4336N 公式 HxWxL 1037x1322x1336","一致","1322","1336","1037","2026-09-12","","","",""
"","脚","採用中","","¥1,010","1330","¥1,280","101","133","Pure Kraft 55 Degrees Standing Calf Raise","¥1,800,000","1","¥1,800,000","https://gym80.de/en/product/4345/","置いてあるジムが少なく差別化しやすい","高","gym80 4345 公式 HxWxL 1280x1010x1330","一致","1010","1330","1280","2026-09-12","","","",""
"","Glute","候補(台数0)","","¥1,955","1585","¥1,490","196","159","Pure Kraft Belt Squat","¥2,200,000","0","¥0","https://gym80.de/en/product/4360/","Precor Deadlift Eliteやラック構成と要調整。採用なら台数1","高","gym80 4360 公式 HxWxL 1490x1955x1585","一致","1955","1585","1490","2026-09-12","","","",""
"","脚","候補(台数0)","","¥1,068","2421","¥1,733","107","242","Pure Kraft Pendulum Squat","¥2,400,000","0","¥0","https://gym80.de/en/product/4353n/","ハックスクワットとの比較候補。採用なら台数1","高","gym80 4353N 公式 HxWxL 1733x1068x2421","一致","1068","2421","1733","2026-09-12","","","",""
"","腕","採用中","","¥946","1530","¥1,243","95","153","Pure Kraft Biceps Curl Dual","¥1,600,000","1","¥1,600,000","https://www.gym80.co.uk/products/pure-kraft-biceps-curl-dual","二頭専用。腕を鍛え切れる感を出す","高","gym80 4355 公式 HxWxL 1243x946x1530","一致","946","1530","1243","2026-09-12","","","",""
"","腕","採用中","","¥1,179","1279","¥1,493","118","128","Pure Kraft Triceps Extension","¥1,600,000","1","¥1,600,000","https://gym80.de/en/product/4339n/","三頭専用。カールとは分けて導入","高","gym80 4339N 公式 HxWxL 1493x1179x1279（リンク4356→4339Nに統一）","リンク・型番整理","1179","1279","1493","2026-09-12","","","",""
"","その他","候補(台数0)","","¥1,567","2084","¥1,605","157","208","ELC シーテッドロウ","¥294,000","0","¥0","https://ecoleco-fitness.com/expert-model/plate-load/elc-series","Arsenal/gym80が高い場合の代替候補","高","ELC-07","未突合（既存値維持）","1567","2084","1605","2026-09-12","","","",""
"","肩","候補(台数0)","","¥1,567","1156","¥1,603","157","116","ELC ラテラルレイズ","¥294,000","0","¥0","https://ecoleco-fitness.com/expert-model/plate-load/elc-series","gym80が高い場合の代替候補","高","ELC-04公式","未突合（既存値維持）","1567","1156","1603","2026-09-12","","","",""
"","脚","候補(台数0)","","¥1,040","1190","¥1,630","104","119","Hammer Strength Select Leg Extension","¥1,300,000","0","¥0","https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/hammer-strength-select","gym80 Leg Extensionを入れる場合は不要","高","HS Select LE 公式 LxWxH 119x104x163cm","一致","1040","1190","1630","2026-09-12","","","",""
"","脚","候補(台数0)","","¥860","1400","¥1,400","86","140","Hammer Strength Select Leg Curl","¥1,300,000","0","¥0","https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/hammer-strength-select","gym80 Lying Leg Curlを入れる場合は不要","高","HS-SLC Seated Leg Curl 公式 LxWxH 140x86x140cm（旧990x1650x1400を訂正）","訂正","990","1650","1400","2026-09-12","","","",""
"","初心者","採用中","","890","1580","1400","89","158","Abdominal Crunch","¥1,300,000","1","¥1,300,000","https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/hammer-strength-select","初心者にも分かりやすい腹筋マシン","高","HS-ABC 公式 LxWxH 158x89x140cm","一致","890","1580","1400","2026-09-12","","","",""
"","初心者","採用中","","¥1,130","1180","¥2,210","113","118","Assist Dip Chin","¥1,300,000","1","¥1,300,000","https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/hammer-strength-select","初心者向け懸垂・ディップス","高","HS-ADC 公式 LxWxH 118x113x221cm","一致","1130","1180","2210","2026-09-12","","","",""
"","胸","候補(台数0)","","¥1,400","1100","¥1,480","140","110","Insignia Series Chest Press","¥1,600,000","0","¥0","https://www.lifefitness.com/en-hk/catalog/strength-training/selectorized/insignia-series-chest-press","胸は既存設備と重複しやすいため優先低め","高","Insignia Chest Press","未突合（既存値維持）","1400","1100","1480","2026-09-12","","","",""
"","Glute","候補(台数0)","","¥800","1600","¥1,600","80","160","Standing Abductor","","","","https://www.panattasport.com/it/fit-evo/standing-abductor-machine/","","中","FitEvo Standing Abductor想定","未突合（既存値維持）","800","1600","1600","2026-09-12","","","",""
"","HYROX/有酸素","採用中","","¥600","1270","¥2,160","60","127","SkiErg PM5 スタンド付","¥205,000","1","¥205,000","https://www.concept2.com/ergs/skierg","HYROX感・省スペース","高","Concept2 公式 スタンド付 60x127x216cm","一致","600","1270","2160","2026-09-12","","","",""
"","背中","採用中","","¥610","2440","¥360","61","244","RowErg","¥190,000","1","¥190,000","https://www.concept2.com/ergs/rowerg","HYROX補完。面積確認","高","Concept2 公式 61x244x36cm（旧高さ860訂正。使用エリア推奨274x122）","高さ訂正","610","2440","860","2026-09-12","","","",""
"","HYROX/有酸素","候補(台数0)","","610","1220","1030","61","122","BikeErg","¥180,000","0","¥0","https://www.concept2.com/ergs/bikeerg","採用なら台数1","高","Concept2 公式 幅61×長122、シート高最大約103cm","高さ整理","610","1220","1100","2026-09-12","","","",""
"","HYROX/有酸素","採用中","","592","1048","1082","59","105","POWER MAX V3 Pro","¥1,200,000","1","¥1,200,000","https://www.konami.com/sportsclub/online/shop/aerobike/power-max-v3/","競技者・無酸素パワー向け","高","公式 幅59.2×奥行104.8×高108.2cm","訂正","600","1030","820","2026-09-12","","","",""
"","HYROX/有酸素","採用中","","¥840","1430","¥2,100","84","143","PowerMill Climber","¥2,200,000","1","¥2,200,000","https://www.lifefitness.com/en-us/catalog/cardio/stair-climbers-stepper-machines/powermill-climber","階段系の本命。女性・減量層にも強い","高","Life Fitness 公式 LxWxH 143x84x210cm（天井目安2.7m）","一致","840","1430","2100","2026-09-12","","","",""
"","HYROX/有酸素","候補(台数0)","","¥720","1350","¥1,910","72","135","C50 ClimbMill","¥1,800,000","0","¥0","https://world.matrixfitness.com/eng/home/climbmills/c50","PowerMillとの比較候補","高","Matrix C50","未突合（既存値維持）","720","1350","1910","2026-09-12","","","",""
"","その他","候補(台数0)","","¥860","1600","¥2,060","86","160","10G StepMill","¥2,700,000","0","¥0","https://www.corehandf.com/collections/stairmaster","天井高確認必須","高","StairMaster 10G","未突合（既存値維持）","860","1600","2060","2026-09-12","","","",""
"","HYROX/有酸素","採用中","","¥840","1780","¥1,830","84","178","Curve Treadmill","¥2,000,000","1","¥2,000,000","https://www.woodway.com/treadmills/curve/","海外ジム感・映え・HIIT対応","高","WOODWAY Curve 公式 W84×L178×H183cm","一致","840","1780","1830","2026-09-12","","","",""
"","HYROX/有酸素","候補(台数0)","","¥920","2090","¥1,420","92","209","Integrity+ Treadmill","¥1,800,000","0","¥0","https://www.lifefitness.com/en-us/catalog/cardio/treadmills","既存更新用","高","Integrity+ Treadmill","未突合（既存値維持）","920","2090","1420","2026-09-12","","","",""
"","HYROX/有酸素","候補(台数0)","","¥730","2180","¥1,630","73","218","Integrity+ Cross Trainer","¥1,500,000","0","¥0","https://www.lifefitness.com/en-us/catalog/cardio/ellipticals","既存更新用","高","Integrity+ Elliptical","未突合（既存値維持）","730","2180","1630","2026-09-12","","","",""
"","FW","採用中","","¥950","1400","¥2,300","95","140","ONI 鬼コンボラック IPF公認","¥380,000","1","¥380,000","https://bukiya.net/products/oni373a","既存BULLベンチに加えて1台追加","低","ONI想定","未突合（既存値維持）","950","1400","2300","2026-09-12","","","",""
"","FW","採用中","","¥1,350","760","¥430","135","76","フラットベンチ EVRB-C135","¥33,350","1","¥33,350","https://evolgear.com/product/evrb-c135.html","フリーウェイト周辺の備品","高","Evolgear公式 W1350×D760×H430","一致","1350","760","430","2026-09-12","","","",""
"","FW","採用中","","¥50","2200","¥50","5","220","オリンピックバー EVA-5000","¥37,950","2","¥75,900","https://evolgear.com/product/eva-5000.html","ラック増設に伴う備品","高","バー長約2200mm（床占有はラック前提）","維持","50","2200","50","2026-09-12","","","",""
"","FW","採用中","","¥610","580","¥1,240","61","58","プレートツリー EVRB-C154","¥47,150","2","¥94,300","https://evolgear.com/product/evrb-c154.html","プレート収納用","高","Evolgear公式 W610×D580×H1240","一致","610","580","1240","2026-09-12","","","",""
"","FW","採用中","","483","1067","864","48","107","Rogue Deadlift Jack","¥80,000","1","¥80,000","https://www.roguefitness.com/rogue-deadlift-jack","高重量利用者向け","中","Rogue Deadlift Bar Jack","未突合（既存値維持）","483","1067","864","2026-09-12","","","",""
"","HYROX/有酸素","採用中","","¥356","356","¥356","36","36","Wall Ball","¥30,000","6","¥180,000","https://www.roguefitness.com/medicine-balls","HYROX備品","低","Wall Ball直径目安14in","未突合（既存値維持）","356","356","356","2026-09-12","","","",""
"","HYROX/有酸素","採用中","","¥1,000","600","¥350","100","60","Kettlebell Set","¥300,000","1","¥300,000","https://www.roguefitness.com/rogue-kettlebells","HYROX・ファンクショナル用","低","KBセット占有目安","未突合（既存値維持）","1000","600","350","2026-09-12","","","",""
"","FW","採用中","","¥432","457","¥1,219","43","46","アタッチメントラック","¥100,000","1","¥100,000","https://evolgear.com/","ケーブル周辺整理。MAGグリップ用","低","アタッチメントラック目安","未突合（既存値維持）","432","457","1219","2026-09-12","","","",""
"","HYROX/有酸素","採用中","","¥1,200","1200","¥430","120","120","Tire Flip / Strongman Tire","¥500,000","1","¥500,000","https://warriors-gym.com/en/facility/","WARRIORS GYM参考。省スペース・安全性を見て代替器具も検討","低","タイヤ推定","未突合（既存値維持）","1200","1200","430","2026-09-12","","","",""
"","HYROX/有酸素","採用中","","¥610","1016","¥1,003","61","102","Dog Sled 1.2","¥250,000","1","¥250,000","https://www.roguefitness.com/dog-sled","HYROX/ストロングマン兼用。人工芝レーンが必要","高","Dog Sled","未突合（既存値維持）","610","1016","1003","2026-09-12","","","",""
"","HYROX/有酸素","採用中","","¥610","1524","¥254","61","152","Farmer's Walk Handles","¥160,000","1","¥160,000","https://www.roguefitness.com/strongman/logs-axles-handles","グリップ・体幹・全身系。場所を取りにくい","低","Farmers目安","未突合（既存値維持）","610","1524","254","2026-09-12","","","",""
"","HYROX/有酸素","採用中","","¥254","1956","¥254","25","196","LB-1 Rogue 10 inch Log Bar","¥200,000","1","¥200,000","https://www.roguefitness.com/log-bar","話題性あり。利用者は限定的","高","Log Bar","未突合（既存値維持）","254","1956","254","2026-09-12","","","",""
"","HYROX/有酸素","候補(台数0)","","¥1,219","1270","¥2,337","122","127","Y-2 Yoke","¥300,000","0","¥0","https://www.roguefitness.com/rogue-yoke","スペースを取るため候補扱い","高","Rogue Y-2 Yoke","未突合（既存値維持）","1219","1270","2337","2026-09-12","","","",""
"","HYROX/有酸素","採用中","","406","406","394","41","41","Strongman Sandbag Set","¥250,000","1","¥250,000","https://www.roguefitness.com/rogue-sandbags","HYROX・ストロングマン兼用","低","Sandbag目安","未突合（既存値維持）","406","406","394","2026-09-12","","","",""
"","初心者","重複候補","","","","","","","Assist Dip & Chin","","","","https://jp.matrixfitness.com/jpn/strength/single-station/vs-s601-chin-dip-assist","懸垂/ディップス補助","低","Matrix VS-S601候補。HS Assist Dip Chinと用途重複のため層で見送り検討","重複候補として残置","","","","2026-09-12","","","",""
